"temperature","humidity","soil_moisture_level","mustasa_classification","petchay_classification","kangkong_classification","pump_irrigation_mustasa","pump_irrigation_pechay","pump_irrigation_kangkong"
32.5,73.5,80,"GOOD","GOOD","GOOD","OFF","OFF","OFF"
30.5,63.2,88,"BAD","BAD","BAD","OFF","OFF","OFF"
32.3,73.2,80,"GOOD","GOOD","GOOD","OFF","OFF","OFF"
37.1,55.9,86,"BAD","BAD","GOOD","OFF","OFF","OFF"
33,70.1,87,"BAD","BAD","GOOD","OFF","OFF","OFF"
31.9,77.1,79,"GOOD","GOOD","GOOD","OFF","OFF","OFF"
32.6,71.7,80,"GOOD","GOOD","GOOD","OFF","OFF","OFF"
33.5,75,85,"BAD","BAD","BAD","OFF","OFF","OFF"
32.7,71.9,81,"GOOD","BAD","BAD","OFF","OFF","OFF"
32.7,73.7,80,"GOOD","GOOD","GOOD","OFF","OFF","OFF"
32.8,71.4,80,"GOOD","GOOD","GOOD","OFF","OFF","OFF"
32.1,68.4,91,"BAD","BAD","BAD","OFF","OFF","OFF"
32.9,72.1,80,"GOOD","GOOD","GOOD","OFF","OFF","OFF"
32.8,71.8,80,"GOOD","GOOD","GOOD","OFF","OFF","OFF"
32.9,70.5,80,"GOOD","GOOD","GOOD","OFF","OFF","OFF"
32.8,70.3,86,"GOOD","BAD","GOOD","OFF","OFF","OFF"
33,71.2,80,"GOOD","GOOD","GOOD","OFF","OFF","OFF"
33.1,70.8,79,"GOOD","GOOD","GOOD","OFF","OFF","OFF"
33,70.1,80,"GOOD","GOOD","GOOD","OFF","OFF","OFF"
33,70.2,80,"GOOD","GOOD","GOOD","OFF","OFF","OFF"
32.8,71.3,91,"GOOD","BAD","BAD","OFF","OFF","OFF"
32.8,71.2,80,"GOOD","GOOD","GOOD","OFF","OFF","OFF"
36.4,55.5,82,"BAD","BAD","GOOD","OFF","OFF","OFF"
36.2,54.1,82,"BAD","BAD","GOOD","OFF","OFF","OFF"
36.2,56.1,80,"BAD","BAD","GOOD","OFF","OFF","OFF"
36.1,55.8,80,"BAD","BAD","GOOD","OFF","OFF","OFF"
