"temperature","humidity","soil_moisture_level","growth_rate_condition_classification","petchay_classification","kangkong_classification"
33.1,76,93,"BAD"
33.5,67.3,89,"BAD"
33.5,67.2,86,"BAD"
29.2,82.7,86,"BAD"
35.4,67.8,82,"BAD"
31.4,67.8,82,"BAD"
30.7,78.7,87,"GOOD"
31.2,75.3,87,"GOOD"
31.3,75.6,87,"GOOD"
31.5,74.7,87,"GOOD"
31.6,74.4,86,"GOOD"
31.5,72.9,87,"GOOD"
33.5,70.2,75,"GOOD"
35.9,56.5,92,"BAD"
35.9,56.6,93,"BAD"
35.5,56.6,93,"BAD"
35.4,57,87,"BAD"
35.5,57.4,93,"BAD"
35.6,55.7,93,"BAD"
35.7,56.6,92,"BAD"
35.6,55.7,93,"BAD"
35.6,57.4,93,"BAD"
35.3,67.3,81,"BAD"
30.9,76.6,93,"GOOD"
30.9,76.7,92,"GOOD"
30.9,76.7,92,"GOOD"
30.9,76.7,92,"GOOD"
30.9,77.2,93,"GOOD"
30.9,77.4,94,"GOOD"
36.2,54.1,92,"BAD"
36.2,54.1,92,"BAD"
36.2,56.1,94,"BAD"
36.1,55.8,93,"BAD"
36.2,56.1,94,"BAD"
36.1,55.8,93,"BAD"
36.3,56.4,92,"BAD"
36.4,55.5,84,"BAD"
30.9,76.9,94,"GOOD"
30.9,77.7,94,"GOOD"
30.9,79.9,94,"GOOD"
30.8,76.7,93,"GOOD"
30.8,76.7,94,"GOOD"
30.9,78,93,"GOOD"
30.8,77,93,"GOOD"
30.8,78.7,94,"GOOD"
30.8,77.1,93,"GOOD"
30.9,77.5,93,"GOOD"
30.8,78,93,"GOOD"
36.3,55.9,92,"BAD"
36.3,56.3,92,"BAD"
36.2,57.9,91,"BAD"
36.1,55.6,92,"BAD"
